"","Species","Ecoregion","mean_ProbEst"
"487"," pinunigr"," eco28",0
"488"," pinunigr"," eco29",0
"489"," pinunigr"," eco3",0
"490"," pinunigr"," eco30",0
"491"," pinunigr"," eco4",0
"492"," pinunigr"," eco6",0
"493"," pinunigr"," eco7",0
"494"," pinunigr"," eco8",0
"495"," pinupond"," eco1",0
"496"," pinupond"," eco10",0
"497"," pinupond"," eco11",0
"498"," pinupond"," eco12",0
"499"," pinupond"," eco14",0
"500"," pinupond"," eco16",0
"501"," pinupond"," eco17",0
"502"," pinupond"," eco18",0
"503"," pinupond"," eco19",0
"504"," pinupond"," eco2",0
"505"," pinupond"," eco20",0
"506"," pinupond"," eco21",0
"507"," pinupond"," eco22",0
"508"," pinupond"," eco23",0
"509"," pinupond"," eco24",0
"510"," pinupond"," eco25",0
"511"," pinupond"," eco26",0
"512"," pinupond"," eco27",0
"513"," pinupond"," eco28",0
"514"," pinupond"," eco29",0
"515"," pinupond"," eco3",0
"516"," pinupond"," eco30",0
"517"," pinupond"," eco4",0
"518"," pinupond"," eco6",0
"519"," pinupond"," eco7",0
"520"," pinupond"," eco8",0
"521"," pinusylv"," eco1",0.06
"522"," pinusylv"," eco10",0.06
"523"," pinusylv"," eco11",0.06
"524"," pinusylv"," eco12",0.06
"525"," pinusylv"," eco14",0.06
"526"," pinusylv"," eco16",0.06
"527"," pinusylv"," eco17",0.06
"528"," pinusylv"," eco18",0.06
"529"," pinusylv"," eco19",0.06
"530"," pinusylv"," eco2",0.06
"531"," pinusylv"," eco20",0.06
"532"," pinusylv"," eco21",0.06
"533"," pinusylv"," eco22",0.06
"534"," pinusylv"," eco23",0.06
"535"," pinusylv"," eco24",0.06
"536"," pinusylv"," eco25",0.06
"537"," pinusylv"," eco26",0.06
"538"," pinusylv"," eco27",0.06
"539"," pinusylv"," eco28",0.06
"540"," pinusylv"," eco29",0.06
"541"," pinusylv"," eco3",0.06
"542"," pinusylv"," eco30",0.06
"543"," pinusylv"," eco4",0.06
"544"," pinusylv"," eco6",0.06
"545"," pinusylv"," eco7",0.06
"546"," pinusylv"," eco8",0.06
"547"," popualba"," eco1",0
"548"," popualba"," eco10",0
"549"," popualba"," eco11",0
"550"," popualba"," eco12",0
"551"," popualba"," eco14",0
"552"," popualba"," eco16",0
"553"," popualba"," eco17",0
"554"," popualba"," eco18",0
"555"," popualba"," eco19",0
"556"," popualba"," eco2",0
"557"," popualba"," eco20",0
"558"," popualba"," eco21",0
"559"," popualba"," eco22",0
"560"," popualba"," eco23",0
"561"," popualba"," eco24",0
"562"," popualba"," eco25",0
"563"," popualba"," eco26",0
"564"," popualba"," eco27",0
